dataset,task,mechanism,rate,imputer,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,imp_mae_num_mean,imp_mae_num_std,imp_rmse_num_mean,imp_rmse_num_std,imp_acc_cat_mean,imp_acc_cat_std
adult,classification,MAR,0.05,dropna,random_forest,0.7899,0.0153,0.7601,0.0189,0.8028,0.0121,,,,,,,,,,,,
adult,classification,MAR,0.05,iterative,lightgbm,0.829,0.0028,0.7935,0.003,0.8382,0.0025,,,,,,,13563.4644,36.0117,19291.1037,813.1558,0.5914,0.0465
adult,classification,MAR,0.05,iterative,logistic_regression,0.8062,0.0015,0.7687,0.0024,0.8173,0.0015,,,,,,,13563.4644,36.0117,19291.1037,813.1558,0.5914,0.0465
adult,classification,MAR,0.05,iterative,random_forest,0.7849,0.0043,0.752,0.0042,0.7991,0.0039,,,,,,,13563.4644,36.0117,19291.1037,813.1558,0.5914,0.0465
adult,classification,MAR,0.05,knn_3,lightgbm,0.8279,0.0043,0.7924,0.0045,0.8371,0.0039,,,,,,,15656.2081,543.0963,21679.9118,1090.8985,0.5914,0.0465
adult,classification,MAR,0.05,knn_3,logistic_regression,0.8061,0.0026,0.7686,0.0032,0.8172,0.0024,,,,,,,15656.2081,543.0963,21679.9118,1090.8985,0.5914,0.0465
adult,classification,MAR,0.05,knn_3,random_forest,0.7794,0.0087,0.7472,0.0083,0.7943,0.0078,,,,,,,15656.2081,543.0963,21679.9118,1090.8985,0.5914,0.0465
adult,classification,MAR,0.05,knn_5,lightgbm,0.8286,0.0031,0.7933,0.0036,0.8378,0.0029,,,,,,,14908.412,494.9237,20769.8358,1043.7519,0.5914,0.0465
adult,classification,MAR,0.05,knn_5,logistic_regression,0.8058,0.0024,0.7683,0.0029,0.8169,0.0022,,,,,,,14908.412,494.9237,20769.8358,1043.7519,0.5914,0.0465
adult,classification,MAR,0.05,knn_5,random_forest,0.7806,0.0037,0.7484,0.0039,0.7953,0.0034,,,,,,,14908.412,494.9237,20769.8358,1043.7519,0.5914,0.0465
adult,classification,MAR,0.05,knn_7,lightgbm,0.8291,0.0045,0.7938,0.0049,0.8382,0.0041,,,,,,,14534.2513,354.7251,20304.178,950.6901,0.5914,0.0465
adult,classification,MAR,0.05,knn_7,logistic_regression,0.8059,0.0019,0.7684,0.0025,0.817,0.0018,,,,,,,14534.2513,354.7251,20304.178,950.6901,0.5914,0.0465
adult,classification,MAR,0.05,knn_7,random_forest,0.7795,0.0082,0.7472,0.0074,0.7943,0.0073,,,,,,,14534.2513,354.7251,20304.178,950.6901,0.5914,0.0465
adult,classification,MAR,0.05,miceforest,lightgbm,0.8252,0.0015,0.7876,0.0021,0.8342,0.0015,,,,,,,19169.8652,459.7259,27029.0693,1439.9943,0.0,0.0
adult,classification,MAR,0.05,miceforest,logistic_regression,0.7719,0.0179,0.7285,0.0226,0.7851,0.0172,,,,,,,19169.8652,459.7259,27029.0693,1439.9943,0.0,0.0
adult,classification,MAR,0.05,miceforest,random_forest,0.8023,0.0021,0.7648,0.0019,0.8138,0.0018,,,,,,,19169.8652,459.7259,27029.0693,1439.9943,0.0,0.0
adult,classification,MAR,0.05,simple_const,lightgbm,0.8297,0.0032,0.7943,0.0038,0.8388,0.003,,,,,,,31925.6058,474.927,37786.0091,1016.0129,0.5914,0.0465
adult,classification,MAR,0.05,simple_const,logistic_regression,0.8012,0.0025,0.7636,0.0032,0.8128,0.0024,,,,,,,31925.6058,474.927,37786.0091,1016.0129,0.5914,0.0465
adult,classification,MAR,0.05,simple_const,random_forest,0.7796,0.0075,0.7473,0.0072,0.7944,0.0068,,,,,,,31925.6058,474.927,37786.0091,1016.0129,0.5914,0.0465
adult,classification,MAR,0.05,simple_freq,lightgbm,0.8298,0.0042,0.7945,0.0047,0.8389,0.0039,,,,,,,14544.5106,1195.3695,20610.9099,1815.5975,0.5914,0.0465
adult,classification,MAR,0.05,simple_freq,logistic_regression,0.8061,0.0021,0.7685,0.0032,0.8171,0.0021,,,,,,,14544.5106,1195.3695,20610.9099,1815.5975,0.5914,0.0465
adult,classification,MAR,0.05,simple_freq,random_forest,0.7834,0.0062,0.7505,0.0056,0.7977,0.0055,,,,,,,14544.5106,1195.3695,20610.9099,1815.5975,0.5914,0.0465
adult,classification,MAR,0.05,simple_mean,lightgbm,0.83,0.0048,0.7948,0.005,0.8391,0.0043,,,,,,,13514.0863,56.2484,19311.8194,838.2398,0.5914,0.0465
adult,classification,MAR,0.05,simple_mean,logistic_regression,0.8062,0.0007,0.7685,0.0019,0.8172,0.0009,,,,,,,13514.0863,56.2484,19311.8194,838.2398,0.5914,0.0465
adult,classification,MAR,0.05,simple_mean,random_forest,0.7806,0.006,0.7481,0.0057,0.7952,0.0054,,,,,,,13514.0863,56.2484,19311.8194,838.2398,0.5914,0.0465
adult,classification,MAR,0.05,simple_median,lightgbm,0.8292,0.0039,0.7939,0.0042,0.8384,0.0035,,,,,,,13233.0934,80.6825,19434.1951,882.9003,0.5914,0.0465
adult,classification,MAR,0.05,simple_median,logistic_regression,0.8057,0.0027,0.768,0.0037,0.8167,0.0026,,,,,,,13233.0934,80.6825,19434.1951,882.9003,0.5914,0.0465
adult,classification,MAR,0.05,simple_median,random_forest,0.7841,0.0055,0.7512,0.0051,0.7984,0.0049,,,,,,,13233.0934,80.6825,19434.1951,882.9003,0.5914,0.0465
adult,classification,MAR,0.1,dropna,lightgbm,0.8379,0.0096,0.7917,0.0132,0.8467,0.0085,,,,,,,,,,,,
adult,classification,MAR,0.1,dropna,logistic_regression,0.8037,0.019,0.7584,0.0258,0.8172,0.016,,,,,,,,,,,,
adult,classification,MAR,0.1,dropna,random_forest,0.7927,0.0138,0.7482,0.0169,0.8076,0.0107,,,,,,,,,,,,
adult,classification,MAR,0.1,iterative,lightgbm,0.8219,0.0036,0.7859,0.0039,0.8317,0.0033,,,,,,,13367.9013,218.0565,18919.1405,688.2434,0.5222,0.0226
adult,classification,MAR,0.1,iterative,logistic_regression,0.8012,0.0038,0.7638,0.005,0.8128,0.0037,,,,,,,13367.9013,218.0565,18919.1405,688.2434,0.5222,0.0226
adult,classification,MAR,0.1,iterative,random_forest,0.7831,0.0032,0.7498,0.0029,0.7974,0.0028,,,,,,,13367.9013,218.0565,18919.1405,688.2434,0.5222,0.0226
adult,classification,MAR,0.1,knn_3,lightgbm,0.8226,0.0043,0.7863,0.0051,0.8322,0.004,,,,,,,15177.8402,964.0616,20987.9182,1700.0855,0.5222,0.0226
adult,classification,MAR,0.1,knn_3,logistic_regression,0.7994,0.0065,0.7619,0.0075,0.8111,0.0061,,,,,,,15177.8402,964.0616,20987.9182,1700.0855,0.5222,0.0226
adult,classification,MAR,0.1,knn_3,random_forest,0.7813,0.0071,0.7479,0.0069,0.7957,0.0064,,,,,,,15177.8402,964.0616,20987.9182,1700.0855,0.5222,0.0226
adult,classification,MAR,0.1,knn_5,lightgbm,0.8222,0.0043,0.7861,0.0048,0.8319,0.004,,,,,,,14547.2989,619.3042,20171.348,1273.1808,0.5222,0.0226
adult,classification,MAR,0.1,knn_5,logistic_regression,0.8012,0.0069,0.7637,0.008,0.8128,0.0064,,,,,,,14547.2989,619.3042,20171.348,1273.1808,0.5222,0.0226
adult,classification,MAR,0.1,knn_5,random_forest,0.7785,0.0072,0.7458,0.0067,0.7933,0.0064,,,,,,,14547.2989,619.3042,20171.348,1273.1808,0.5222,0.0226
adult,classification,MAR,0.1,knn_7,lightgbm,0.8231,0.0035,0.7873,0.0039,0.8328,0.0032,,,,,,,14266.6864,413.1699,19819.4808,1056.8304,0.5222,0.0226
adult,classification,MAR,0.1,knn_7,logistic_regression,0.801,0.0069,0.7635,0.0081,0.8126,0.0065,,,,,,,14266.6864,413.1699,19819.4808,1056.8304,0.5222,0.0226
adult,classification,MAR,0.1,knn_7,random_forest,0.7806,0.0062,0.7474,0.0057,0.7952,0.0055,,,,,,,14266.6864,413.1699,19819.4808,1056.8304,0.5222,0.0226
adult,classification,MAR,0.1,miceforest,lightgbm,0.8101,0.0014,0.7721,0.0023,0.8206,0.0015,,,,,,,18463.569,559.9116,25743.7266,904.9639,0.0,0.0
adult,classification,MAR,0.1,miceforest,logistic_regression,0.7711,0.0051,0.7308,0.0035,0.7851,0.0043,,,,,,,18463.569,559.9116,25743.7266,904.9639,0.0,0.0
adult,classification,MAR,0.1,miceforest,random_forest,0.7885,0.004,0.7511,0.0019,0.8014,0.0031,,,,,,,18463.569,559.9116,25743.7266,904.9639,0.0,0.0
adult,classification,MAR,0.1,simple_const,lightgbm,0.8255,0.0044,0.7896,0.0051,0.8349,0.0041,,,,,,,31938.8912,615.3572,37580.867,870.006,0.5222,0.0226
adult,classification,MAR,0.1,simple_const,logistic_regression,0.7948,0.005,0.7571,0.0065,0.807,0.0049,,,,,,,31938.8912,615.3572,37580.867,870.006,0.5222,0.0226
adult,classification,MAR,0.1,simple_const,random_forest,0.7689,0.0057,0.7369,0.0047,0.7847,0.005,,,,,,,31938.8912,615.3572,37580.867,870.006,0.5222,0.0226
adult,classification,MAR,0.1,simple_freq,lightgbm,0.8251,0.0048,0.789,0.0053,0.8345,0.0044,,,,,,,14716.9174,925.0483,21019.0346,1428.461,0.5222,0.0226
adult,classification,MAR,0.1,simple_freq,logistic_regression,0.8023,0.0048,0.7648,0.0062,0.8138,0.0047,,,,,,,14716.9174,925.0483,21019.0346,1428.461,0.5222,0.0226
adult,classification,MAR,0.1,simple_freq,random_forest,0.7755,0.0045,0.7427,0.0044,0.7906,0.0041,,,,,,,14716.9174,925.0483,21019.0346,1428.461,0.5222,0.0226
adult,classification,MAR,0.1,simple_mean,lightgbm,0.8237,0.0024,0.7879,0.0027,0.8334,0.0022,,,,,,,13349.1492,215.2269,18927.2499,687.9211,0.5222,0.0226
adult,classification,MAR,0.1,simple_mean,logistic_regression,0.8012,0.0044,0.7637,0.0054,0.8128,0.0042,,,,,,,13349.1492,215.2269,18927.2499,687.9211,0.5222,0.0226
adult,classification,MAR,0.1,simple_mean,random_forest,0.782,0.0068,0.7486,0.006,0.7964,0.006,,,,,,,13349.1492,215.2269,18927.2499,687.9211,0.5222,0.0226
adult,classification,MAR,0.1,simple_median,lightgbm,0.824,0.0048,0.7882,0.0051,0.8336,0.0043,,,,,,,13098.1542,242.0719,19057.4672,755.4296,0.5222,0.0226
adult,classification,MAR,0.1,simple_median,logistic_regression,0.8021,0.0056,0.7646,0.0068,0.8136,0.0053,,,,,,,13098.1542,242.0719,19057.4672,755.4296,0.5222,0.0226
adult,classification,MAR,0.1,simple_median,random_forest,0.7808,0.0045,0.7475,0.0036,0.7953,0.0039,,,,,,,13098.1542,242.0719,19057.4672,755.4296,0.5222,0.0226
adult,classification,MAR,0.15,dropna,lightgbm,0.8323,0.0175,0.7889,0.0126,0.8376,0.0181,,,,,,,,,,,,
adult,classification,MAR,0.15,dropna,logistic_regression,0.803,0.0174,0.7676,0.0052,0.8135,0.0205,,,,,,,,,,,,
adult,classification,MAR,0.15,dropna,random_forest,0.8119,0.0261,0.7753,0.0027,0.8209,0.028,,,,,,,,,,,,
adult,classification,MAR,0.15,iterative,lightgbm,0.8149,0.002,0.7789,0.0024,0.8254,0.0018,,,,,,,13086.1209,317.5628,18304.9106,491.0282,0.5228,0.061
adult,classification,MAR,0.15,iterative,logistic_regression,0.798,0.0028,0.7603,0.0022,0.8098,0.0024,,,,,,,13086.1209,317.5628,18304.9106,491.0282,0.5228,0.061
adult,classification,MAR,0.15,iterative,random_forest,0.7808,0.0097,0.7471,0.0086,0.7952,0.0086,,,,,,,13086.1209,317.5628,18304.9106,491.0282,0.5228,0.061
adult,classification,MAR,0.15,knn_3,lightgbm,0.8133,0.0055,0.7774,0.0057,0.824,0.005,,,,,,,20180.1506,4616.2903,25627.175,4084.2725,0.5228,0.061
adult,classification,MAR,0.15,knn_3,logistic_regression,0.7943,0.0047,0.757,0.0043,0.8066,0.0041,,,,,,,20180.1506,4616.2903,25627.175,4084.2725,0.5228,0.061
adult,classification,MAR,0.15,knn_3,random_forest,0.7729,0.0085,0.7401,0.0076,0.7882,0.0075,,,,,,,20180.1506,4616.2903,25627.175,4084.2725,0.5228,0.061
adult,classification,MAR,0.15,knn_5,lightgbm,0.8142,0.0025,0.7783,0.0027,0.8248,0.0023,,,,,,,19652.3891,4937.754,24899.4718,4459.4526,0.5228,0.061
adult,classification,MAR,0.15,knn_5,logistic_regression,0.7958,0.0039,0.7584,0.004,0.808,0.0035,,,,,,,19652.3891,4937.754,24899.4718,4459.4526,0.5228,0.061
adult,classification,MAR,0.15,knn_5,random_forest,0.7713,0.0061,0.739,0.0057,0.7869,0.0055,,,,,,,19652.3891,4937.754,24899.4718,4459.4526,0.5228,0.061
adult,classification,MAR,0.15,knn_7,lightgbm,0.8143,0.0037,0.7784,0.0039,0.8249,0.0034,,,,,,,19407.2623,5072.4319,24559.9164,4585.1352,0.5228,0.061
adult,classification,MAR,0.15,knn_7,logistic_regression,0.7959,0.0045,0.7584,0.0049,0.808,0.0042,,,,,,,19407.2623,5072.4319,24559.9164,4585.1352,0.5228,0.061
adult,classification,MAR,0.15,knn_7,random_forest,0.7743,0.0054,0.7413,0.0051,0.7894,0.0049,,,,,,,19407.2623,5072.4319,24559.9164,4585.1352,0.5228,0.061
adult,classification,MAR,0.15,miceforest,lightgbm,0.8027,0.0009,0.7637,0.0026,0.8137,0.0012,,,,,,,18326.577,399.5347,25667.0938,487.1865,0.0,0.0
adult,classification,MAR,0.15,miceforest,logistic_regression,0.7574,0.0073,0.7146,0.012,0.7722,0.0076,,,,,,,18326.577,399.5347,25667.0938,487.1865,0.0,0.0
adult,classification,MAR,0.15,miceforest,random_forest,0.7881,0.0048,0.748,0.0023,0.8004,0.0036,,,,,,,18326.577,399.5347,25667.0938,487.1865,0.0,0.0
adult,classification,MAR,0.15,simple_const,lightgbm,0.8199,0.0021,0.7839,0.0023,0.8299,0.002,,,,,,,31295.5342,616.9223,36717.1538,725.5329,0.5228,0.061
adult,classification,MAR,0.15,simple_const,logistic_regression,0.7886,0.0048,0.7512,0.0044,0.8015,0.0042,,,,,,,31295.5342,616.9223,36717.1538,725.5329,0.5228,0.061
adult,classification,MAR,0.15,simple_const,random_forest,0.769,0.0119,0.7366,0.0106,0.7848,0.0106,,,,,,,31295.5342,616.9223,36717.1538,725.5329,0.5228,0.061
adult,classification,MAR,0.15,simple_freq,lightgbm,0.8186,0.0022,0.7827,0.0025,0.8288,0.002,,,,,,,13620.7023,783.0094,19353.5689,1219.0482,0.5228,0.061
adult,classification,MAR,0.15,simple_freq,logistic_regression,0.7964,0.004,0.7588,0.0041,0.8085,0.0036,,,,,,,13620.7023,783.0094,19353.5689,1219.0482,0.5228,0.061
adult,classification,MAR,0.15,simple_freq,random_forest,0.7737,0.0059,0.7417,0.0054,0.7891,0.0053,,,,,,,13620.7023,783.0094,19353.5689,1219.0482,0.5228,0.061
adult,classification,MAR,0.15,simple_mean,lightgbm,0.8168,0.0029,0.7811,0.0035,0.8272,0.0027,,,,,,,13034.4363,327.6944,18313.0376,484.4883,0.5228,0.061
adult,classification,MAR,0.15,simple_mean,logistic_regression,0.7989,0.0034,0.7613,0.0032,0.8107,0.003,,,,,,,13034.4363,327.6944,18313.0376,484.4883,0.5228,0.061
adult,classification,MAR,0.15,simple_mean,random_forest,0.7736,0.0064,0.7414,0.0061,0.7889,0.0058,,,,,,,13034.4363,327.6944,18313.0376,484.4883,0.5228,0.061
adult,classification,MAR,0.15,simple_median,lightgbm,0.8171,0.0032,0.7815,0.0036,0.8275,0.0029,,,,,,,12690.4778,406.5804,18365.8236,563.7612,0.5228,0.061
adult,classification,MAR,0.15,simple_median,logistic_regression,0.7979,0.0043,0.7604,0.0047,0.8098,0.0039,,,,,,,12690.4778,406.5804,18365.8236,563.7612,0.5228,0.061
adult,classification,MAR,0.15,simple_median,random_forest,0.7745,0.0065,0.742,0.0059,0.7898,0.0058,,,,,,,12690.4778,406.5804,18365.8236,563.7612,0.5228,0.061
adult,classification,MAR,0.2,dropna,lightgbm,0.8625,0.0154,0.7929,0.0457,0.8651,0.0188,,,,,,,,,,,,
adult,classification,MAR,0.2,dropna,logistic_regression,0.8324,0.019,0.7779,0.0579,0.8448,0.0141,,,,,,,,,,,,
adult,classification,MAR,0.2,dropna,random_forest,0.8511,0.0048,0.792,0.05,0.8592,0.0041,,,,,,,,,,,,
adult,classification,MAR,0.2,iterative,lightgbm,0.8135,0.0094,0.777,0.0099,0.824,0.0085,,,,,,,13267.1777,73.6276,18764.4133,339.6862,0.5638,0.0119
adult,classification,MAR,0.2,iterative,logistic_regression,0.7929,0.006,0.7559,0.0071,0.8054,0.0056,,,,,,,13267.1777,73.6276,18764.4133,339.6862,0.5638,0.0119
adult,classification,MAR,0.2,iterative,random_forest,0.7707,0.0029,0.7381,0.0027,0.7863,0.0026,,,,,,,13267.1777,73.6276,18764.4133,339.6862,0.5638,0.0119
adult,classification,MAR,0.2,knn_3,lightgbm,0.8127,0.0073,0.776,0.0078,0.8233,0.0067,,,,,,,16363.4224,1047.2758,22335.127,683.2139,0.5638,0.0119
adult,classification,MAR,0.2,knn_3,logistic_regression,0.7827,0.012,0.7457,0.0127,0.7963,0.011,,,,,,,16363.4224,1047.2758,22335.127,683.2139,0.5638,0.0119
adult,classification,MAR,0.2,knn_3,random_forest,0.7564,0.004,0.7258,0.0038,0.7736,0.0036,,,,,,,16363.4224,1047.2758,22335.127,683.2139,0.5638,0.0119
adult,classification,MAR,0.2,knn_5,lightgbm,0.8125,0.0079,0.7761,0.0083,0.8231,0.0071,,,,,,,15464.8912,1331.0562,21159.0525,779.1808,0.5638,0.0119
adult,classification,MAR,0.2,knn_5,logistic_regression,0.7862,0.0093,0.7492,0.0104,0.7994,0.0086,,,,,,,15464.8912,1331.0562,21159.0525,779.1808,0.5638,0.0119
adult,classification,MAR,0.2,knn_5,random_forest,0.7585,0.0005,0.7273,0.0005,0.7754,0.0004,,,,,,,15464.8912,1331.0562,21159.0525,779.1808,0.5638,0.0119
adult,classification,MAR,0.2,knn_7,lightgbm,0.8117,0.0103,0.7755,0.0108,0.8225,0.0094,,,,,,,15153.3693,1373.4855,20772.8413,809.4608,0.5638,0.0119
adult,classification,MAR,0.2,knn_7,logistic_regression,0.7887,0.0082,0.7515,0.0092,0.8016,0.0076,,,,,,,15153.3693,1373.4855,20772.8413,809.4608,0.5638,0.0119
adult,classification,MAR,0.2,knn_7,random_forest,0.762,0.0021,0.7303,0.0018,0.7785,0.0019,,,,,,,15153.3693,1373.4855,20772.8413,809.4608,0.5638,0.0119
adult,classification,MAR,0.2,miceforest,lightgbm,0.7967,0.003,0.7546,0.0027,0.8076,0.0025,,,,,,,18715.5125,139.393,26250.4449,550.3531,0.0,0.0
adult,classification,MAR,0.2,miceforest,logistic_regression,0.7535,0.0177,0.7068,0.0214,0.7678,0.0168,,,,,,,18715.5125,139.393,26250.4449,550.3531,0.0,0.0
adult,classification,MAR,0.2,miceforest,random_forest,0.7824,0.0047,0.7398,0.0058,0.7947,0.0045,,,,,,,18715.5125,139.393,26250.4449,550.3531,0.0,0.0
adult,classification,MAR,0.2,simple_const,lightgbm,0.8162,0.009,0.78,0.0098,0.8265,0.0082,,,,,,,31782.0761,449.2306,37426.9691,542.0336,0.5638,0.0119
adult,classification,MAR,0.2,simple_const,logistic_regression,0.7798,0.0084,0.7429,0.0098,0.7937,0.0079,,,,,,,31782.0761,449.2306,37426.9691,542.0336,0.5638,0.0119
adult,classification,MAR,0.2,simple_const,random_forest,0.7489,0.0101,0.7193,0.0093,0.7668,0.0092,,,,,,,31782.0761,449.2306,37426.9691,542.0336,0.5638,0.0119
adult,classification,MAR,0.2,simple_freq,lightgbm,0.8156,0.0074,0.7795,0.008,0.826,0.0068,,,,,,,14892.5378,1140.289,21229.8602,2176.8885,0.5638,0.0119
adult,classification,MAR,0.2,simple_freq,logistic_regression,0.7887,0.0054,0.7519,0.0065,0.8017,0.0051,,,,,,,14892.5378,1140.289,21229.8602,2176.8885,0.5638,0.0119
adult,classification,MAR,0.2,simple_freq,random_forest,0.7599,0.0088,0.7292,0.0086,0.7767,0.008,,,,,,,14892.5378,1140.289,21229.8602,2176.8885,0.5638,0.0119
adult,classification,MAR,0.2,simple_mean,lightgbm,0.8158,0.008,0.7798,0.0087,0.8262,0.0073,,,,,,,13233.5486,70.4599,18780.257,337.6933,0.5638,0.0119
adult,classification,MAR,0.2,simple_mean,logistic_regression,0.7921,0.0061,0.7552,0.0072,0.8047,0.0058,,,,,,,13233.5486,70.4599,18780.257,337.6933,0.5638,0.0119
adult,classification,MAR,0.2,simple_mean,random_forest,0.7642,0.0029,0.7325,0.0026,0.7805,0.0026,,,,,,,13233.5486,70.4599,18780.257,337.6933,0.5638,0.0119
adult,classification,MAR,0.2,simple_median,lightgbm,0.8137,0.0081,0.7776,0.0083,0.8243,0.0073,,,,,,,12952.6298,96.4659,18890.3968,397.8291,0.5638,0.0119
adult,classification,MAR,0.2,simple_median,logistic_regression,0.7903,0.0072,0.7533,0.0085,0.8031,0.0068,,,,,,,12952.6298,96.4659,18890.3968,397.8291,0.5638,0.0119
adult,classification,MAR,0.2,simple_median,random_forest,0.7676,0.0035,0.7352,0.0034,0.7835,0.0031,,,,,,,12952.6298,96.4659,18890.3968,397.8291,0.5638,0.0119
adult,classification,MAR,0.25,dropna,lightgbm,0.8778,0.1075,0.8474,0.1389,0.8804,0.1055,,,,,,,,,,,,
adult,classification,MAR,0.25,dropna,logistic_regression,0.9017,0.0748,0.8538,0.0389,0.9052,0.0732,,,,,,,,,,,,
