dataset,mechanism,rate,imputer,model,mae,rmse,r2
air_quality_uci,NONE,0.0,none,ridge_regression,0.47533110676867124,0.6534892902893513,0.9928225739843576
air_quality_uci,NONE,0.0,none,random_forest,0.07251807228915658,0.23469339136798634,0.9990742504774179
air_quality_uci,MCAR,0.01,simple,ridge_regression,0.5360651954278195,0.7778246113269816,0.9898315411203511
air_quality_uci,MCAR,0.01,simple,random_forest,0.09545276129001312,0.28707615171050993,0.998614884442996
air_quality_uci,MCAR,0.01,iterative,ridge_regression,0.47199045381752447,0.6580172264621701,0.9927227666343826
air_quality_uci,MCAR,0.01,iterative,random_forest,0.07633763625932298,0.23040200000289138,0.9991077957970658
air_quality_uci,MCAR,0.05,simple,ridge_regression,0.798731963569515,1.3516809456467054,0.9692928041584092
air_quality_uci,MCAR,0.05,simple,random_forest,0.24710110253697165,0.7084210091172807,0.9915652029017551
air_quality_uci,MCAR,0.05,iterative,ridge_regression,0.51714886426306,0.7304057998254265,0.9910335568019453
air_quality_uci,MCAR,0.05,iterative,random_forest,0.15267715146299482,0.3701678471238318,0.9976970253277697
air_quality_uci,MCAR,0.1,simple,ridge_regression,0.9322133306923017,1.251356116568688,0.9736819554967019
air_quality_uci,MCAR,0.1,simple,random_forest,0.293106666418256,0.6978938276891256,0.9918140235641109
air_quality_uci,MCAR,0.1,iterative,ridge_regression,0.490886128789331,0.6914365333116526,0.9919648050044229
air_quality_uci,MCAR,0.1,iterative,random_forest,0.1564249211464572,0.3592429781993424,0.9978309560512826
air_quality_uci,MCAR,0.15,simple,ridge_regression,1.2022616705855051,1.6840416958347204,0.9523352350455601
air_quality_uci,MCAR,0.15,simple,random_forest,0.3900934931251073,0.8875410992838559,0.9867605872617359
air_quality_uci,MCAR,0.15,iterative,ridge_regression,0.5561481139754606,0.7863958249249159,0.9896062043585366
air_quality_uci,MCAR,0.15,iterative,random_forest,0.28954013941704376,0.6158472623043602,0.993625622114349
air_quality_uci,MCAR,0.2,simple,ridge_regression,1.3055001185519037,2.0263515453413543,0.9309885171295718
air_quality_uci,MCAR,0.2,simple,random_forest,0.5443520357363458,1.3190015260743777,0.9707596631448198
air_quality_uci,MCAR,0.2,iterative,ridge_regression,0.6125773407946767,0.8605661054725982,0.9875531272641724
air_quality_uci,MCAR,0.2,iterative,random_forest,0.26131724514554433,0.5042959455265708,0.9957257223632916
air_quality_uci,MCAR,0.25,simple,ridge_regression,1.377954924549914,1.9319267657207744,0.9372703167940981
air_quality_uci,MCAR,0.25,simple,random_forest,0.66495336413342,1.2621264610805878,0.9732269703175658
air_quality_uci,MCAR,0.25,iterative,ridge_regression,0.7156825989881608,1.045544671748021,0.9816271317099621
air_quality_uci,MCAR,0.25,iterative,random_forest,0.48393839378344106,0.993377015279139,0.9834148276261181
air_quality_uci,MCAR,0.3,simple,ridge_regression,1.6544978339785208,2.341291340990025,0.9078696558801298
air_quality_uci,MCAR,0.3,simple,random_forest,0.7840929210003689,1.5396523169661689,0.9601583702532036
air_quality_uci,MCAR,0.3,iterative,ridge_regression,0.6715290661778567,0.9737492640031165,0.984063752709578
air_quality_uci,MCAR,0.3,iterative,random_forest,0.4413378981704053,0.8906774972134337,0.9866668509024177
air_quality_uci,MAR,0.01,simple,ridge_regression,0.5482778636135105,0.7800089645144527,0.9897743490661002
air_quality_uci,MAR,0.01,simple,random_forest,0.13138598901694032,0.41063597929707757,0.9971659613205311
air_quality_uci,MAR,0.01,iterative,ridge_regression,0.489963720271969,0.6763202205206601,0.9923122983667344
air_quality_uci,MAR,0.01,iterative,random_forest,0.0875783132530118,0.2591761972188395,0.9988710310384136
air_quality_uci,MAR,0.05,simple,ridge_regression,0.7472508662520669,1.1018381780552629,0.979595431826186
air_quality_uci,MAR,0.05,simple,random_forest,0.15177382935026507,0.3572889109390752,0.9978544884829974
air_quality_uci,MAR,0.05,iterative,ridge_regression,0.49121405754098696,0.6799180805036854,0.9922302873797783
air_quality_uci,MAR,0.05,iterative,random_forest,0.10377909389020247,0.22335403872910434,0.9991615457022345
air_quality_uci,MAR,0.1,simple,ridge_regression,0.9128313624903948,1.1697272234353548,0.9770035408921692
air_quality_uci,MAR,0.1,simple,random_forest,0.14689674631960808,0.28657869189192847,0.9986196806779238
air_quality_uci,MAR,0.1,iterative,ridge_regression,0.5222536355750574,0.7013664133354469,0.9917323571972381
air_quality_uci,MAR,0.1,iterative,random_forest,0.1098919918100635,0.26485198133537957,0.9988210422875388
air_quality_uci,MAR,0.15,simple,ridge_regression,0.7723703362597107,0.9946337309187308,0.9833728374667532
air_quality_uci,MAR,0.15,simple,random_forest,0.19901878815142005,0.420499197788969,0.9970281826172313
air_quality_uci,MAR,0.15,iterative,ridge_regression,0.5635368525349933,0.7383742800737939,0.9908368478838466
air_quality_uci,MAR,0.15,iterative,random_forest,0.1472131068278126,0.3180361362590419,0.9983000164739309
air_quality_uci,MAR,0.2,simple,ridge_regression,1.3478205199100626,1.758984608258274,0.947998502066008
air_quality_uci,MAR,0.2,simple,random_forest,0.24599572352540006,0.442663386170747,0.9967066417234509
air_quality_uci,MAR,0.2,iterative,ridge_regression,0.5387704834687381,0.7476225908232208,0.9906058691032418
air_quality_uci,MAR,0.2,iterative,random_forest,0.17179961532389557,0.3128738232746437,0.9983547563097359
air_quality_uci,MAR,0.25,simple,ridge_regression,1.3831501357726046,1.8548186275342697,0.9421777918203593
air_quality_uci,MAR,0.25,simple,random_forest,0.5104869974777675,1.0896783929664484,0.9800433126142013
air_quality_uci,MAR,0.25,iterative,ridge_regression,0.6986075929877451,0.9543340505245217,0.9846929107366603
air_quality_uci,MAR,0.25,iterative,random_forest,0.3712412996700484,0.7815628770341869,0.989733565958952
air_quality_uci,MAR,0.3,simple,ridge_regression,1.0937554130062976,1.468816693381205,0.9637400688698045
air_quality_uci,MAR,0.3,simple,random_forest,0.35871416096897574,0.7221954992498871,0.9912340027402331
air_quality_uci,MAR,0.3,iterative,ridge_regression,0.5793046379933445,0.8016351125964142,0.9891994657470651
air_quality_uci,MAR,0.3,iterative,random_forest,0.2934374956312516,0.6631644418625102,0.9926084717855601
air_quality_uci,MNAR,0.01,simple,ridge_regression,0.5181604609011154,0.7490185532524503,0.9905707548703239
air_quality_uci,MNAR,0.01,simple,random_forest,0.081218875502008,0.25065661548724927,0.9989440335550908
air_quality_uci,MNAR,0.01,iterative,ridge_regression,0.47749201484289866,0.6586831365204803,0.992708030135839
air_quality_uci,MNAR,0.01,iterative,random_forest,0.08096164658634457,0.23435455148815082,0.9990769216597288
air_quality_uci,MNAR,0.05,simple,ridge_regression,0.7070210663745017,0.9347108540938986,0.9853159333473726
air_quality_uci,MNAR,0.05,simple,random_forest,0.13694006641917197,0.33288401709165444,0.9981375798454213
air_quality_uci,MNAR,0.05,iterative,ridge_regression,0.4815934344289065,0.6737957171920477,0.9923695830857383
air_quality_uci,MNAR,0.05,iterative,random_forest,0.09098454273893594,0.24582275667953127,0.9989843690087071
air_quality_uci,MNAR,0.1,simple,ridge_regression,0.7936205017337269,1.094838378483085,0.9798538621641162
