,,,,,,accuracy,accuracy,macro_f1,macro_f1,weighted_f1,weighted_f1,imp_mae_num,imp_mae_num,imp_rmse_num,imp_rmse_num,imp_acc_cat,imp_acc_cat,imp_n_num,imp_n_num,imp_n_cat,imp_n_cat,mae,mae,rmse,rmse,r2,r2
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,task,mechanism,rate,imputer,model,,,,,,,,,,,,,,,,,,,,,,
adult,classification,MAR,0.01,simple_median,lightgbm,0.8338,0.005,0.7983,0.0056,0.8424,0.0046,12419.8358,734.0646,17849.7637,1203.5601,0.5618,0.0474,2358.0,4.5826,3077.0,13.7477,,,,,,
adult,classification,MAR,0.01,simple_median,logistic_regression,0.8099,0.0042,0.7718,0.0056,0.8204,0.0041,12419.8358,734.0646,17849.7637,1203.5601,0.5618,0.0474,2358.0,4.5826,3077.0,13.7477,,,,,,
adult,classification,MAR,0.01,simple_median,random_forest,0.7914,0.0038,0.7582,0.0039,0.8049,0.0034,12419.8358,734.0646,17849.7637,1203.5601,0.5618,0.0474,2358.0,4.5826,3077.0,13.7477,,,,,,
adult,classification,MAR,0.05,dropna,lightgbm,0.8306,0.0111,0.7971,0.0177,0.8388,0.0087,,,,,,,,,,,,,,,,
adult,classification,MAR,0.05,dropna,logistic_regression,0.8093,0.007,0.7745,0.0125,0.8192,0.0045,,,,,,,,,,,,,,,,
adult,classification,MAR,0.05,dropna,random_forest,0.7899,0.0153,0.7601,0.0189,0.8028,0.0121,,,,,,,,,,,,,,,,
adult,classification,MAR,0.05,iterative,lightgbm,0.829,0.0028,0.7935,0.003,0.8382,0.0025,13563.4644,36.0117,19291.1037,813.1558,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,iterative,logistic_regression,0.8062,0.0015,0.7687,0.0024,0.8173,0.0015,13563.4644,36.0117,19291.1037,813.1558,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,iterative,random_forest,0.7849,0.0043,0.752,0.0042,0.7991,0.0039,13563.4644,36.0117,19291.1037,813.1558,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,knn_3,lightgbm,0.8279,0.0043,0.7924,0.0045,0.8371,0.0039,15656.2081,543.0963,21679.9118,1090.8985,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,knn_3,logistic_regression,0.8061,0.0026,0.7686,0.0032,0.8172,0.0024,15656.2081,543.0963,21679.9118,1090.8985,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,knn_3,random_forest,0.7794,0.0087,0.7472,0.0083,0.7943,0.0078,15656.2081,543.0963,21679.9118,1090.8985,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,knn_5,lightgbm,0.8286,0.0031,0.7933,0.0036,0.8378,0.0029,14908.412,494.9237,20769.8358,1043.7519,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
